index,type,class_idx,feature_idx
52,weight,0,52
219,weight,0,219
249,weight,0,249
320,weight,0,320
322,weight,0,322
327,weight,0,327
432,weight,0,432
447,weight,0,447
449,weight,0,449
490,weight,0,490
499,weight,0,499
547,weight,0,547
561,weight,0,561
595,weight,0,595
604,weight,0,604
760,weight,0,760
921,weight,0,921
924,weight,0,924
945,weight,0,945
974,weight,0,974
1048,weight,0,1048
1175,weight,0,1175
1269,weight,0,1269
1414,weight,0,1414
1493,weight,0,1493
1522,weight,0,1522
1550,weight,0,1550
1566,weight,0,1566
1589,weight,0,1589
1621,weight,0,1621
1623,weight,0,1623
1640,weight,0,1640
1667,weight,0,1667
1680,weight,0,1680
1705,weight,0,1705
1741,weight,0,1741
1834,weight,0,1834
1836,weight,0,1836
1895,weight,0,1895
1909,weight,0,1909
1926,weight,0,1926
1951,weight,0,1951
2012,weight,0,2012
2028,weight,0,2028
2399,weight,1,351
2521,weight,1,473
2671,weight,1,623
2803,weight,1,755
2972,weight,1,924
2979,weight,1,931
3047,weight,1,999
3199,weight,1,1151
3289,weight,1,1241
3747,weight,1,1699
3782,weight,1,1734
3808,weight,1,1760
3822,weight,1,1774
4066,weight,1,2018
4104,weight,2,8
4114,weight,2,18
4117,weight,2,21
4138,weight,2,42
4161,weight,2,65
4168,weight,2,72
4178,weight,2,82
4189,weight,2,93
4192,weight,2,96
4233,weight,2,137
4271,weight,2,175
4282,weight,2,186
4296,weight,2,200
4339,weight,2,243
4352,weight,2,256
4367,weight,2,271
4387,weight,2,291
4422,weight,2,326
4444,weight,2,348
4449,weight,2,353
4464,weight,2,368
4469,weight,2,373
4471,weight,2,375
4507,weight,2,411
4516,weight,2,420
4523,weight,2,427
4542,weight,2,446
4545,weight,2,449
4559,weight,2,463
4573,weight,2,477
4595,weight,2,499
4596,weight,2,500
4597,weight,2,501
4611,weight,2,515
4616,weight,2,520
4674,weight,2,578
4678,weight,2,582
4691,weight,2,595
4692,weight,2,596
4704,weight,2,608
4706,weight,2,610
4727,weight,2,631
4742,weight,2,646
4748,weight,2,652
4749,weight,2,653
4784,weight,2,688
4787,weight,2,691
4795,weight,2,699
4798,weight,2,702
4813,weight,2,717
4834,weight,2,738
4851,weight,2,755
4857,weight,2,761
4868,weight,2,772
4935,weight,2,839
4947,weight,2,851
4980,weight,2,884
4986,weight,2,890
5003,weight,2,907
5008,weight,2,912
5020,weight,2,924
5038,weight,2,942
5050,weight,2,954
5074,weight,2,978
5087,weight,2,991
5094,weight,2,998
5107,weight,2,1011
5152,weight,2,1056
5163,weight,2,1067
5212,weight,2,1116
5227,weight,2,1131
5246,weight,2,1150
5250,weight,2,1154
5281,weight,2,1185
5298,weight,2,1202
5319,weight,2,1223
5362,weight,2,1266
5382,weight,2,1286
5384,weight,2,1288
5404,weight,2,1308
5428,weight,2,1332
5440,weight,2,1344
5492,weight,2,1396
5498,weight,2,1402
5527,weight,2,1431
5534,weight,2,1438
5541,weight,2,1445
5545,weight,2,1449
5552,weight,2,1456
5569,weight,2,1473
5572,weight,2,1476
5579,weight,2,1483
5603,weight,2,1507
5605,weight,2,1509
5606,weight,2,1510
5620,weight,2,1524
5633,weight,2,1537
5644,weight,2,1548
5645,weight,2,1549
5658,weight,2,1562
5672,weight,2,1576
5677,weight,2,1581
5678,weight,2,1582
5686,weight,2,1590
5693,weight,2,1597
5694,weight,2,1598
5725,weight,2,1629
5775,weight,2,1679
5782,weight,2,1686
5802,weight,2,1706
5807,weight,2,1711
5822,weight,2,1726
5824,weight,2,1728
5897,weight,2,1801
5904,weight,2,1808
5923,weight,2,1827
5967,weight,2,1871
5978,weight,2,1882
5984,weight,2,1888
5997,weight,2,1901
5998,weight,2,1902
6035,weight,2,1939
6056,weight,2,1960
6076,weight,2,1980
6098,weight,2,2002
6099,weight,2,2003
6111,weight,2,2015
6114,weight,2,2018
6130,weight,2,2034
6156,weight,3,12
6166,weight,3,22
6175,weight,3,31
6226,weight,3,82
6310,weight,3,166
6336,weight,3,192
6463,weight,3,319
6492,weight,3,348
6559,weight,3,415
6580,weight,3,436
6581,weight,3,437
6587,weight,3,443
6590,weight,3,446
6621,weight,3,477
6644,weight,3,500
6648,weight,3,504
6684,weight,3,540
6702,weight,3,558
6728,weight,3,584
6730,weight,3,586
6733,weight,3,589
6767,weight,3,623
6797,weight,3,653
6829,weight,3,685
6884,weight,3,740
6889,weight,3,745
6911,weight,3,767
6916,weight,3,772
6926,weight,3,782
6980,weight,3,836
6987,weight,3,843
7011,weight,3,867
7014,weight,3,870
7025,weight,3,881
7051,weight,3,907
7068,weight,3,924
7086,weight,3,942
7124,weight,3,980
7139,weight,3,995
7142,weight,3,998
7143,weight,3,999
7147,weight,3,1003
7154,weight,3,1010
7155,weight,3,1011
7161,weight,3,1017
7189,weight,3,1045
7192,weight,3,1048
7210,weight,3,1066
7217,weight,3,1073
7252,weight,3,1108
7257,weight,3,1113
7285,weight,3,1141
7330,weight,3,1186
7337,weight,3,1193
7346,weight,3,1202
7357,weight,3,1213
7367,weight,3,1223
7377,weight,3,1233
7380,weight,3,1236
7388,weight,3,1244
7418,weight,3,1274
7426,weight,3,1282
7430,weight,3,1286
7461,weight,3,1317
7472,weight,3,1328
7479,weight,3,1335
7481,weight,3,1337
7488,weight,3,1344
7544,weight,3,1400
7567,weight,3,1423
7585,weight,3,1441
7589,weight,3,1445
7616,weight,3,1472
7621,weight,3,1477
7627,weight,3,1483
7653,weight,3,1509
7686,weight,3,1542
7693,weight,3,1549
7718,weight,3,1574
7753,weight,3,1609
7795,weight,3,1651
7804,weight,3,1660
7841,weight,3,1697
7850,weight,3,1706
7859,weight,3,1715
7872,weight,3,1728
7874,weight,3,1730
7878,weight,3,1734
7914,weight,3,1770
7919,weight,3,1775
7929,weight,3,1785
7930,weight,3,1786
8006,weight,3,1862
8015,weight,3,1871
8032,weight,3,1888
8039,weight,3,1895
8046,weight,3,1902
8071,weight,3,1927
8076,weight,3,1932
8083,weight,3,1939
8097,weight,3,1953
8141,weight,3,1997
8144,weight,3,2000
8162,weight,3,2018
8221,weight,4,29
8223,weight,4,31
8244,weight,4,52
8280,weight,4,88
8311,weight,4,119
8319,weight,4,127
8378,weight,4,186
8388,weight,4,196
8392,weight,4,200
8394,weight,4,202
8395,weight,4,203
8408,weight,4,216
8411,weight,4,219
8418,weight,4,226
8423,weight,4,231
8435,weight,4,243
8441,weight,4,249
8449,weight,4,257
8459,weight,4,267
8499,weight,4,307
8524,weight,4,332
8576,weight,4,384
8624,weight,4,432
8679,weight,4,487
8692,weight,4,500
8706,weight,4,514
8770,weight,4,578
8776,weight,4,584
8802,weight,4,610
8807,weight,4,615
8818,weight,4,626
8838,weight,4,646
8865,weight,4,673
8909,weight,4,717
8959,weight,4,767
8977,weight,4,785
9025,weight,4,833
9033,weight,4,841
9075,weight,4,883
9082,weight,4,890
9111,weight,4,919
9116,weight,4,924
9129,weight,4,937
9139,weight,4,947
9141,weight,4,949
9159,weight,4,967
9174,weight,4,982
9190,weight,4,998
9233,weight,4,1041
9263,weight,4,1071
9289,weight,4,1097
9300,weight,4,1108
9303,weight,4,1111
9385,weight,4,1193
9405,weight,4,1213
9414,weight,4,1222
9425,weight,4,1233
9444,weight,4,1252
9454,weight,4,1262
9475,weight,4,1283
9478,weight,4,1286
9493,weight,4,1301
9494,weight,4,1302
9504,weight,4,1312
9505,weight,4,1313
9507,weight,4,1315
9525,weight,4,1333
9529,weight,4,1337
9539,weight,4,1347
9544,weight,4,1352
9558,weight,4,1366
9560,weight,4,1368
9586,weight,4,1394
9615,weight,4,1423
9647,weight,4,1455
9669,weight,4,1477
9670,weight,4,1478
9681,weight,4,1489
9690,weight,4,1498
