feature_idx,selection_count
0,6
1,5
2,6
3,3
4,0
5,3
6,1
7,3
8,2
9,2
10,0
11,7
12,10
13,1
14,1
15,0
16,4
17,3
18,4
19,9
20,23
21,0
22,2
23,9
24,5
25,2
26,2
27,3
28,1
29,2
30,2
31,0
32,4
33,5
34,1
35,2
36,1
37,6
38,0
39,3
40,2
41,11
42,43
43,2
44,3
45,3
46,3
47,4
48,2
49,2
50,1
51,2
52,1
53,3
54,6
55,4
56,3
57,8
58,3
59,5
60,2
61,2
62,2
63,1
64,8
65,20
66,3
67,22
68,1
69,6
70,1
71,2
72,3
73,11
74,1
75,4
76,6
77,0
78,0
79,1
80,2
81,1
82,8
83,2
84,1
85,5
86,2
87,48
88,17
89,4
90,2
91,4
92,10
93,3
94,5
95,20
96,1
97,11
98,1
99,8
100,0
101,3
102,3
103,28
104,3
105,1
106,3
107,2
108,4
109,3
110,2
111,4
112,5
113,2
114,1
115,3
116,7
117,0
118,15
119,17
120,1
121,11
122,7
123,1
124,1
125,1
126,0
127,14
128,0
129,3
130,0
131,3
132,0
133,1
134,1
135,4
136,5
137,2
138,15
139,3
140,2
141,7
142,2
143,2
144,3
145,0
146,0
147,6
148,2
149,2
150,1
151,3
152,11
153,3
154,4
155,0
156,0
157,0
158,29
159,6
160,2
161,1
162,1
163,0
164,3
165,1
166,1
167,8
168,7
169,1
170,0
171,0
172,12
173,5
174,5
175,1
176,4
177,3
178,11
179,7
180,32
181,5
182,1
183,4
184,2
185,2
186,5
187,0
188,2
189,17
190,0
191,6
192,1
193,1
194,6
195,2
196,0
197,1
198,3
199,9
200,3
201,1
202,8
203,0
204,0
205,1
206,10
207,4
208,1
209,3
210,9
211,12
212,4
213,4
214,1
215,2
216,6
217,1
218,8
219,12
220,0
221,7
222,3
223,1
224,7
225,3
226,1
227,2
228,3
229,2
230,3
231,2
232,2
233,3
234,8
235,2
236,3
237,5
238,1
239,17
240,9
241,0
242,3
243,3
244,10
245,2
246,1
247,1
248,0
249,3
250,1
251,2
252,17
253,4
254,1
255,1
256,7
257,69
258,2
259,2
260,9
261,12
262,4
263,6
264,1
265,9
266,6
267,2
268,1
269,1
270,1
271,1
272,7
273,1
274,1
275,0
276,5
277,6
278,2
279,6
280,2
281,3
282,19
283,0
284,1
285,5
286,1
287,6
288,7
289,6
290,4
291,5
292,4
293,1
294,1
295,2
296,0
297,3
298,0
299,6
300,0
301,4
302,1
303,1
304,3
305,0
306,14
307,3
308,4
309,0
310,0
311,1
